,model,imdb-100-acc,imdb-100-rrate,imdb-200-acc,imdb-200-rrate,imdb-300-acc,imdb-300-rrate,arxiv-100-acc,arxiv-100-rrate,arxiv-200-acc,arxiv-200-rrate,arxiv-300-acc,arxiv-300-rrate,agnews-100-acc,agnews-100-rrate,agnews-200-acc,agnews-200-rrate,agnews-300-acc,agnews-300-rrate
0,LR-L1,0.86792,-,0.86792,-,0.86792,-,0.9583773505176421,-,0.9583773505176421,-,0.9583773505176421,-,0.9797368421052631,-,0.9797368421052631,-,0.9797368421052631,-
1,LR-KEYS,0.8508651648710415,0.3874,0.8450250725785168,0.2422,0.8487503590922149,0.16456,0.9627644957405881,0.23114303824212973,0.9584802639062677,0.0713078385801817,0.9579191517561298,0.04352419184449609,0.9927996611605252,0.3786842105263158,0.9888462879051935,0.245,0.9864033667853674,0.18710526315789475
2,1,0.798,0.617,0.744,0.521,0.684,0.439,0.87,0.601,0.875,0.508,0.882,0.481,0.972,0.683,0.949,0.599,0.99,0.242
3,2,0.927,0.444,0.92,0.301,0.915,0.224,0.946,0.259,0.96,0.093,0.959,0.062,0.99,0.384,0.984,0.254,0.991,0.199
4,3,0.927,0.444,0.92,0.301,0.915,0.224,0.951,0.259,0.958,0.091,0.957,0.06,0.99,0.384,0.984,0.254,0.991,0.199
